file_name,sentence,sentence_language,actor,emotion_expressed
1613463231526.wav,Il capo mi ha affidato un altro lavoro,italian,a8fdca3df5af02253033261470661d5347db3cbee7e6e7b19a5faae9479f30ec,anger
1614112145970.wav,Zia Marta ha detto che devo stare a casa stasera,italian,4954115d5424d7984df5dde107e76301ad62780dac462a33d2ecc12a8fc5c2ee,anger
1613063461611.wav,Giovanni parte per Roma domani,italian,322ad29ca10bc60cfff594bdaf0047340c284fb1bcb15c37cf7256b221cebb30,anger
1615910706039.wav,Oggi c’è una partita di basket,italian,9e818c36663ed2ff3ef74a3a8e96c1127a5bad36f4ccaaf1bae0823e51326eb5,anger
1615999986658.wav,Oggi c’è una partita di basket,italian,f18a99b664fcb1399619b4d81cfaedfbb982d706850592717bb01d180f5e65d2,anger
1613325949943.wav,Giovanni parte per Roma domani,italian,3098d65fb90699a18bd6365a1e2bc750c90e373de09fe22c334de62de8217a03,anger
1614096022725.wav,Il capo mi ha affidato un altro lavoro,italian,c64f81213d168187d346b356bea56d60c6feb02e4914ce98f044bfcdb68a77d8,anger
1613478705644.wav,L’ho incontrato oggi dopo 2 anni,italian,e61c967ecc0fae999d10c15d02651ffe305abe702e3a0387ba4d3fb5cddfb7c3,anger
1620377161599.wav,Ho preso 6 nella verifica di matematica,italian,faf6ce1ea46bca3ee95197b53c7137840d63e6caddc447aa6f5d5b0c4f3d3c03,anger
1616504852610.wav,Il capo mi ha affidato un altro lavoro,italian,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
1613466478916.wav,La cascata fa molto rumore,italian,4aa97df0f04f62f7f564695f551e2f7f0c38fa4a9ced680b5f5e2e403648fcca,anger
1615229330912.wav,Ieri un gatto ha bevuto dalla tazza,italian,253387e8620ee1896c76809782406e139bce35860aaa0d61991965319ba0dc32,anger
1613379274203.wav,Tornerà a casa presto,italian,0518bb1812bd73aeb1a16e59f6205fca9f97ad2975fbe1a5ce10ef9389de091e,anger
1620376538879.wav,Il capo mi ha affidato un altro lavoro,italian,faf6ce1ea46bca3ee95197b53c7137840d63e6caddc447aa6f5d5b0c4f3d3c03,anger
1613832308261.wav,Ieri un gatto ha bevuto dalla tazza,italian,509ce83c88888f7d75edabc19670ab07530413773ce7be5c2aee2a6b98638de7,anger
1615738152527.wav,La cascata fa molto rumore,italian,dac73f9fc772117a4bd001382f681b6d89f03668bbe6ce3e25cd138b465cacf3,anger
1617790021189.wav,La cascata fa molto rumore,italian,d9dacb3ee168be4dbc39386975b6964d353c438d8f57a68914a3228b5385fe69,anger
1613311223626.wav,L’ho incontrato oggi dopo 2 anni,italian,c5901553395ac83eaed42a12f1732d6d12918f0f6078469a7a7fa0ba1b0ffb8c,anger
1614083472115.wav,Non sapevo che fosse in città,italian,c64f81213d168187d346b356bea56d60c6feb02e4914ce98f044bfcdb68a77d8,anger
1614636245119.wav,Non sapevo che fosse in città,italian,00a0efc0faaeb5a288481a25b5d0b7d4c0b070120c6d61be6ef7b255fcdfd17f,anger
1614119325274.wav,E’ una notte stellata,italian,8cd4289dc47d0ea3a3deca73495829e5c4a9c96b1c461670418563548eaffe82,anger
1614335623127.wav,Il cane ha riportato qui la palla,italian,a1c2d05656b9041ce76a61d23aef096635931217a5cf8b8dd4249cc067ee3ac7,anger
1614509743835.wav,Il cane ha riportato qui la palla,italian,068ce32e3f80d8e879142b417ba9f9ab2985ef1f102167758eb0450d047e099a,anger
1613831545479.wav,Non sapevo che fosse in città,italian,509ce83c88888f7d75edabc19670ab07530413773ce7be5c2aee2a6b98638de7,anger
1616505037616.wav,E’ una notte stellata,italian,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
1616872267044.wav,Il cane ha riportato qui la palla,italian,f18a99b664fcb1399619b4d81cfaedfbb982d706850592717bb01d180f5e65d2,anger
1614080341795.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
1613324401979.wav,Il capo mi ha affidato un altro lavoro,italian,f78d765ec69ed2306cf544ae70b352f27ac00ced795ad5a4014e480d6f653395,anger
1614205702202.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,b2bf7455e63d99ee9db25bd7d20fbc7f4af1687f68286bba3ab68c223204d21a,anger
1614551898227.wav,Ho preso 6 nella verifica di matematica,italian,3de1dde66754945ce4109dbfd001bdd1a3ae0f6c4eb63ae0c71e4d45affccfeb,anger
1613831358616.wav,Ho preso 6 nella verifica di matematica,italian,509ce83c88888f7d75edabc19670ab07530413773ce7be5c2aee2a6b98638de7,anger
1620241035484.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,90faa565f21422b948417c0e69766d0df3331b1b347f8871ab9551f76f27854d,anger
1613325598299.wav,La cascata fa molto rumore,italian,eb7ce98554430f22e4b4b80b19f4a2e6f520d37f6e8e41969a9fc1cdf6c79834,anger
1620240437364.wav,E’ andato a scuola dopo pranzo,italian,90faa565f21422b948417c0e69766d0df3331b1b347f8871ab9551f76f27854d,anger
1613384642730.wav,Zia Marta ha detto che devo stare a casa stasera,italian,659dfe05a37f6ae639f658233bc7a05082f075c71da9ab3da5f6962008a6b13a,anger
1614348816307.wav,Ho preso 6 nella verifica di matematica,italian,a1c2d05656b9041ce76a61d23aef096635931217a5cf8b8dd4249cc067ee3ac7,anger
1613406241491.wav,E’ andato a scuola dopo pranzo,italian,922fba4ca90b9862f76ea24486972fd1f31bebe82074ba80056f73ef3bfaabff,anger
1613562594796.wav,Gli operai si alzano presto,italian,4627bdb3ed141168a5e8663c86bfae205566c5bd27779a19c8d83791df8c9474,anger
1613463154175.wav,Vorrei il numero telefonico del Signor Piatti,italian,b4821c502ef74731863784b38f670fb3ee5a2670ee3715c86814968bc76443cd,anger
1616755151378.wav,E’ andato a scuola dopo pranzo,italian,3bc51062973c458d5a6f2d8d64a023246354ad7e064b1e4e009ec8a0699a3043,anger
1613061095333.wav,Zia Marta ha detto che devo stare a casa stasera,italian,c5dcf331cc349d73271e851f493e380619eb12d71867f27694a36fea86167eb7,anger
1613406710010.wav,Zia Marta ha detto che devo stare a casa stasera,italian,8d062a0010a51aaf0af404c7080cbae838fd506815da1c88e1849b3e240bfcf9,anger
1614274154997.wav,Ho preso 6 nella verifica di matematica,italian,5dfd46e27a5e3e8e06fcb92817b0955f7fd28048f5003bfd4e5be8e67bf417db,anger
1614174318448.wav,La cascata fa molto rumore,italian,779562b086bb57bfe27509a43b72b47612f9a64815e53a5a9f48140de037eb5d,anger
1613840545270.wav,E’ una notte stellata,italian,5b1d678a1b4936c172e8c239785f89a2693f7603890c413fffc9e8629243cd77,anger
1613746052868.wav,La cascata fa molto rumore,italian,698cd7528570ea0c92741af736b6595e6704ef4eb26f787fc817287fb3e291d0,anger
1613512695618.wav,Tornerà a casa presto,italian,db14b511e33aa987324560fbaf56ef3860cb82b2393b2c3dcf13bc868a8ea7a0,anger
1613918566491.wav,Vorrei il numero telefonico del Signor Piatti,italian,3ac5fd904e8345dcd4b3de41394f03434c68e031b51afbbd29786dc053940cb4,anger
1613062647102.wav,E’ una notte stellata,italian,322ad29ca10bc60cfff594bdaf0047340c284fb1bcb15c37cf7256b221cebb30,anger
1614173940870.wav,Il cane ha riportato qui la palla,italian,779562b086bb57bfe27509a43b72b47612f9a64815e53a5a9f48140de037eb5d,anger
1616505562295.wav,Non sapevo che fosse in città,italian,f78d765ec69ed2306cf544ae70b352f27ac00ced795ad5a4014e480d6f653395,anger
1613463069063.wav,Gli operai si alzano presto,italian,b4821c502ef74731863784b38f670fb3ee5a2670ee3715c86814968bc76443cd,anger
1613320336898.wav,La cascata fa molto rumore,italian,c7e6fd8f44a628b20a7e55c387105354f9592b834c86f4a05e746c6817c3d34d,anger
1613672377450.wav,Il capo mi ha affidato un altro lavoro,italian,5d71d71e4f3b40075035b0c459fe9638bdd1dfc35654f05eba18cec31c1ad4d8,anger
1616239399170.wav,E’ andato a scuola dopo pranzo,italian,032bd54539dc739de8c4d77eda2bee1f933a6dd243e4447977b6b39b4d4f83bb,anger
1613577081283.wav,Il capo mi ha affidato un altro lavoro,italian,dae87ca745e9dcc3501789d0877435007bbb055c6478889b5d686434f0948632,anger
1614880389339.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,f12c2c31c3d353aa849a8df40e3d057a8ff361efeb5ae08c0899914f277c0a67,anger
1614802466392.wav,E’ impegnato in una riunione,italian,a1c2d05656b9041ce76a61d23aef096635931217a5cf8b8dd4249cc067ee3ac7,anger
1614080605229.wav,Il capo mi ha affidato un altro lavoro,italian,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
1614349047610.wav,Il capo mi ha affidato un altro lavoro,italian,a1c2d05656b9041ce76a61d23aef096635931217a5cf8b8dd4249cc067ee3ac7,anger
1613512644981.wav,E’ andato a scuola dopo pranzo,italian,fbd51d139f2f0269c3e479d6dc5c6b9edb94b1eec62a677c039d280d497b2835,anger
1614674175874.wav,Vorrei il numero telefonico del Signor Piatti,italian,0d8d2647a12b0d544989a6b03603b8b3c27e2c4e0be08671745366d1a8bc4d95,anger
1615228916153.wav,L’ho incontrato oggi dopo 2 anni,italian,65e82fb525a08de54935534a2da2ff0c464eec8a0d4d8d5abc1e5fcf6ea37408,anger
1615739021689.wav,E’ una notte stellata,italian,dac73f9fc772117a4bd001382f681b6d89f03668bbe6ce3e25cd138b465cacf3,anger
1616244155187.wav,L’ho incontrato oggi dopo 2 anni,italian,8af2fa1c3331a1354123146e5ef92f0ca499da94d5135246d119c922a02faba2,anger
1613051910086.wav,Vorrei il numero telefonico del Signor Piatti,italian,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
1615231693058.wav,Zia Marta ha detto che devo stare a casa stasera,italian,7ce215563f7b620fdd32c6618a95215100b4fbede0eb4fc0669b3d649fbd4dc5,anger
1620240463418.wav,E’ impegnato in una riunione,italian,90faa565f21422b948417c0e69766d0df3331b1b347f8871ab9551f76f27854d,anger
1613512802164.wav,E’ impegnato in una riunione,italian,db14b511e33aa987324560fbaf56ef3860cb82b2393b2c3dcf13bc868a8ea7a0,anger
1614108102277.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,8b570a0a4945d7f287736e47dd57040be331d8027cc434153b1eea199ca4b147,anger
1613478563168.wav,E’ andato a scuola dopo pranzo,italian,e61c967ecc0fae999d10c15d02651ffe305abe702e3a0387ba4d3fb5cddfb7c3,anger
1613474219381.wav,E’ impegnato in una riunione,italian,5fa1e0dac2fb8d7edee91210e200fcc89a9b92735b3a12fc5ecbc036f0082e9f,anger
1613656579184.wav,Ieri un gatto ha bevuto dalla tazza,italian,3111cf7b7ed6fc33e48bfa682fc101fcb6f6d842421d031cb7c79bdec5a1a86e,anger
1613474726860.wav,Oggi c’è una partita di basket,italian,5fa1e0dac2fb8d7edee91210e200fcc89a9b92735b3a12fc5ecbc036f0082e9f,anger
1614602686433.wav,Vado in biblioteca,italian,2116b7b5ba182d8fbc46f79f93be85190a70051c85d8f0650b8ddfdf9ef0dec5,anger
1614023367069.wav,L’ho incontrato oggi dopo 2 anni,italian,a67c15fc95e0cf1fe2c20da7b35721626162508a7f180cd025b09be79229c782,anger
1614329620753.wav,Giovanni parte per Roma domani,italian,cd8b199e87bcea323147bcb054d58a9a2bb7daedf6480e2703a4d2cf856fbc68,anger
1614242064515.wav,Il capo mi ha affidato un altro lavoro,italian,5e05cb515b5e6aee84325a8ceeb28a92c2d8d01c6b0f4bb0e743bd04ece7557e,anger
1613064363995.wav,E’ una notte stellata,italian,b9b49cbf60791aa43825f7cb70fce1cabb78f2a73daba8298108662b3cd3e922,anger
1613223232903.wav,Ho preso 6 nella verifica di matematica,italian,9f708824dac5365d965b24a88514c382f13fea6671063de5309a07f762bdc0a0,anger
1613328985529.wav,Vado in biblioteca,italian,4c2c881938da192249389ef87573af9fec30484604a20fd18763681ce5379d16,anger
1620241335227.wav,Non sapevo che fosse in città,italian,90faa565f21422b948417c0e69766d0df3331b1b347f8871ab9551f76f27854d,anger
1613339974103.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,ca92cf0c07b5ba0e083ec3520f75d8f064651db6b04242187aaff4733640cbd0,anger
1615576406958.wav,Non sapevo che fosse in città,italian,d4bbc5043503b9aed309ede00854ee48937684b57a1cc030ee5f42986fbfed7c,anger
1613338993976.wav,E’ una notte stellata,italian,e75aad2cd10884cdbc433cdb10176fa2cdc86309b083a71a5af42da54266f30f,anger
1617550215904.wav,Vado in biblioteca,italian,72fd3f14c5a1f7258f837056d8ec7992464a557289fda307731d032771d1686d,anger
1614087657917.wav,Il cane ha riportato qui la palla,italian,51dc35b1b8aa6a1a57d8897115b169b0f4723cb401f6ff6a72f8227373588fa6,anger
1614674030212.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,0d8d2647a12b0d544989a6b03603b8b3c27e2c4e0be08671745366d1a8bc4d95,anger
1613420143686.wav,Gli operai si alzano presto,italian,890ce843ef7debb34898be4a6674564185e03abc72c010d5afcc8e06cffc5e1a,anger
1613323230795.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,a5af4d285ec86e6a653a3a2fcdaf5b76a85815e09099098a07c7ed580b62ffb7,anger
1614091162799.wav,Ieri un gatto ha bevuto dalla tazza,italian,c64f81213d168187d346b356bea56d60c6feb02e4914ce98f044bfcdb68a77d8,anger
1614073183036.wav,E’ una notte stellata,italian,d517c7deca67aedec5841f1a0083898ca6083a5fde6054b4ed2de1cb618cd8f5,anger
1614191022700.wav,Vado in biblioteca,italian,1df22de3e55c25e81913bb34cfc31efab81ad4c6bc0ac081f2cbd80e3d8133ff,anger
1616504958104.wav,E’ impegnato in una riunione,italian,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
1613378369739.wav,Zia Marta ha detto che devo stare a casa stasera,italian,e7d486b923ff5d70ab28d1f0383f613f4e2d4e02514966f3ff6cdc7446b2f3cd,anger
1613657779616.wav,Vado in biblioteca,italian,5b8476bb94a4a1a17df32b417ec035029f48e4487c9055203fb02353eccd46a1,anger
1616239460538.wav,L’ho incontrato oggi dopo 2 anni,italian,032bd54539dc739de8c4d77eda2bee1f933a6dd243e4447977b6b39b4d4f83bb,anger
1614016877980.wav,E’ impegnato in una riunione,italian,01de3a316dafa26a6e15d40720bc94e0706da6e0831274ea04dc25bccf87de9b,anger
1614174487599.wav,Oggi c’è una partita di basket,italian,779562b086bb57bfe27509a43b72b47612f9a64815e53a5a9f48140de037eb5d,anger
1616245034516.wav,E’ impegnato in una riunione,italian,d2a5da287e6ad3219943b56362ad9106e26b5f131841b4aab074b86913eab532,anger
1613668829117.wav,Tommaso ha detto che dovevo scegliere io cosa fare,italian,9acf7adbcf2db264f6a9bd474a10777936cda93b350bc9898ca5ae5c430e2156,anger
1614679724243.wav,Oggi c’è una partita di basket,italian,cc4fcd0c5f13587141ac571d61a068becd727d8e29b10406705828af440e2257,anger
1614146960471.wav,Ho preso 6 nella verifica di matematica,italian,f8500f6cdfe97e752563d3f3f53db1bfa4eb1cd882ea72db753be830333ba79d,anger
1613512785225.wav,Zia Marta ha detto che devo stare a casa stasera,italian,fbd51d139f2f0269c3e479d6dc5c6b9edb94b1eec62a677c039d280d497b2835,anger
1613474287525.wav,L’ho incontrato oggi dopo 2 anni,italian,5fa1e0dac2fb8d7edee91210e200fcc89a9b92735b3a12fc5ecbc036f0082e9f,anger
1613467099505.wav,E’ una notte stellata,italian,4aa97df0f04f62f7f564695f551e2f7f0c38fa4a9ced680b5f5e2e403648fcca,anger
1614119074167.wav,Gli operai si alzano presto,italian,8cd4289dc47d0ea3a3deca73495829e5c4a9c96b1c461670418563548eaffe82,anger
1613823793013.wav,La cascata fa molto rumore,italian,bf4fccd616251b678c56b9cb7a46819b1266853c180637642f5bc7d6b01f5554,anger
1613849793808.wav,La cascata fa molto rumore,italian,d4bbc5043503b9aed309ede00854ee48937684b57a1cc030ee5f42986fbfed7c,anger
1613474645046.wav,E’ andato a scuola dopo pranzo,italian,5fa1e0dac2fb8d7edee91210e200fcc89a9b92735b3a12fc5ecbc036f0082e9f,anger
1614081032777.wav,Il cane ha riportato qui la palla,italian,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
1614627054318.wav,Giovanni parte per Roma domani,italian,8cd4289dc47d0ea3a3deca73495829e5c4a9c96b1c461670418563548eaffe82,anger
1613314993434.wav,L’ho incontrato oggi dopo 2 anni,italian,6d5a442bd71be91f8716b7d0567788756bf5709ba5626691ec5394727cbd293a,anger
1614329848561.wav,Il capo mi ha affidato un altro lavoro,italian,cd8b199e87bcea323147bcb054d58a9a2bb7daedf6480e2703a4d2cf856fbc68,anger
1613492732663.wav,Ho preso 6 nella verifica di matematica,italian,2fad3c36f016d72a6e40f3a3da6f9304e057edc7f3c188ffd20e92e772cacfe4,anger
1613329119876.wav,Non sapevo che fosse in città,italian,4c2c881938da192249389ef87573af9fec30484604a20fd18763681ce5379d16,anger
1613338681454.wav,E’ impegnato in una riunione,italian,e75aad2cd10884cdbc433cdb10176fa2cdc86309b083a71a5af42da54266f30f,anger
1614279032398.wav,Il capo mi ha affidato un altro lavoro,italian,49558e542e1556348408d7f1fe752213fe52fd552d36f1d48b0cb2bd98ecc458,anger
1614073168727.wav,La cascata fa molto rumore,italian,d517c7deca67aedec5841f1a0083898ca6083a5fde6054b4ed2de1cb618cd8f5,anger
1614029372844.wav,Ho preso 6 nella verifica di matematica,italian,8b570a0a4945d7f287736e47dd57040be331d8027cc434153b1eea199ca4b147,anger
1613064506033.wav,Giovanni parte per Roma domani,italian,b9b49cbf60791aa43825f7cb70fce1cabb78f2a73daba8298108662b3cd3e922,anger
1614278044121.wav,E’ andato a scuola dopo pranzo,italian,5dfd46e27a5e3e8e06fcb92817b0955f7fd28048f5003bfd4e5be8e67bf417db,anger
1614279235286.wav,Ho preso 6 nella verifica di matematica,italian,49558e542e1556348408d7f1fe752213fe52fd552d36f1d48b0cb2bd98ecc458,anger
1615110645711.wav,E’ impegnato in una riunione,italian,6ef077621c61b092619f41ae11d405d5e1c9b3f1f36fa8f749e877ecce1b3046,anger
1614278573928.wav,Ieri un gatto ha bevuto dalla tazza,italian,5dfd46e27a5e3e8e06fcb92817b0955f7fd28048f5003bfd4e5be8e67bf417db,anger
1613214967116.wav,Zia Marta ha detto che devo stare a casa stasera,italian,e84aef587fca9b7a81721586cba38b4497fdd4f0c4c9d0c6075a6c9476221ece,anger
